Project Name,Project Url,Project Group,Application_Domain,Total Code Size (LOC),Java Code Size (LOC),No. Queries,No. of data access files
AdrienPoupa_VinylMusicPlayer,https://github.com/AdrienPoupa/VinylMusicPlayer,Android,Multimedia,39594,24278,16,4
Alfresco_alfresco-android-app,https://github.com/Alfresco/alfresco-android-app,Android,Library,102203,83850,29,8
AndlyticsProject_andlytics,https://github.com/AndlyticsProject/andlytics,Android,Library,25837,17127,49,1
ankidroid_Anki-Android,https://github.com/ankidroid/Anki-Android,Android,Utility,106056,51456,35,1
AntennaPod_AntennaPod,https://github.com/AntennaPod/AntennaPod,Android,Multimedia,79771,51111,100,2
AOKP_packages_apps_Settings,https://github.com/AOKP/packages_apps_Settings,Android,Library,694891,245439,24,6
AOSPA_android_packages_apps_Settings,https://github.com/AOSPA/android_packages_apps_Settings,Android,Library,765129,292997,24,6
AospExtended_platform_packages_apps_Settings,https://github.com/AospExtended/platform_packages_apps_Settings,Android,Library,758547,291107,14,6
AppLozic_Applozic-Android-SDK,https://github.com/AppLozic/Applozic-Android-SDK,Android,Library,62357,52405,202,6
avluis_Hentoid,https://github.com/avluis/Hentoid,Android,Utility,27517,21026,29,1
bither_bither-android,https://github.com/bither/bither-android,Android,Utility,81540,62719,73,4
breadwallet_breadwallet-android,https://github.com/breadwallet/breadwallet-android,Android,Business,52318,33213,20,3
codinguser_gnucash-android,https://github.com/codinguser/gnucash-android,Android,Business,51968,27797,98,8
cyclestreets_android,https://github.com/cyclestreets/android,Android,Utility,17875,11649,24,3
haiwen_seadroid,https://github.com/haiwen/seadroid,Android,Library,48601,33914,39,6
k9mail_k-9,https://github.com/k9mail/k-9,Android,Utility,138526,82871,165,37
kabouzeid_Phonograph,https://github.com/kabouzeid/Phonograph,Android,Multimedia,38233,22534,16,4
klinker24_talon-for-twitter-android,https://github.com/klinker24/talon-for-twitter-android,Android,Utility,107023,66425,133,24
liato_android-bankdroid,https://github.com/liato/android-bankdroid,Android,Business,20999,17264,12,1
microsoft_appcenter-sdk-android,https://github.com/microsoft/appcenter-sdk-android,Android,Library,48213,46129,14,4
MirakelX_mirakel-android,https://github.com/MirakelX/mirakel-android,Android,Utility,67609,47554,179,9
mixpanel_mixpanel-android,https://github.com/mixpanel/mixpanel-android,Android,Library,23630,22689,23,1
mtotschnig_MyExpenses,https://github.com/mtotschnig/MyExpenses,Android,Business,132777,74952,287,3
mycelium-com_wallet-android,https://github.com/mycelium-com/wallet-android,Android,Business,99511,68168,38,4
MythTV-Clients_MythTV-Android-Frontend,https://github.com/MythTV-Clients/MythTV-Android-Frontend,Android,Library,42703,36830,32,2
nextcloud_android,https://github.com/nextcloud/android,Android,Utility,120549,65128,16,1
nextcloud_news-android,https://github.com/nextcloud/news-android,Android,Utility,27560,15774,10,4
omnirom_android_packages_apps_Settings,https://github.com/omnirom/android_packages_apps_Settings,Android,Library,757362,290288,24,6
OpenSilk_Orpheus,https://github.com/OpenSilk/Orpheus,Android,Multimedia,103978,87105,71,4
