projectName,projectGroup,Category,totalAcces,sumDBAccess,avgDBAccess,totalSmell,avgSmell,smellPerAccess,smellPerAvgDBAccess
Ronneesley_redesocial,JD,Business,20,105,5.25,46,2.3,0.4381,8.7619
mycelium-com_wallet-android,A,Business,4,38,9.5,11,2.75,0.2895,1.1579
biblelamp_JavaExercises,H,Business,5,13,2.6,3,0.6,0.2308,1.1538
modernmt_modernmt,JP,Business,4,21,5.25,4,1,0.1905,0.7619
jpmorganchase_tessera,JD,Business,9,16,1.7778,3,0.3333,0.1875,1.6875
eugenp_tutorials,H,Business,26,97,3.7308,17,0.6538,0.1753,4.5567
arnaudroger_SimpleFlatMapper,JP,Business,30,107,3.5667,12,0.4,0.1121,3.3645
liato_android-bankdroid,A,Business,1,12,12,1,1,0.0833,0.0833
Ledger-Software_Ledger,JD,Business,13,92,7.0769,5,0.3846,0.0543,0.7065
breadwallet_breadwallet-android,A,Business,3,20,6.6667,1,0.3333,0.05,0.15
jppf-grid_JPPF,JP,Business,7,21,3,1,0.1429,0.0476,0.3333
jdmr_mateo,H,Business,47,436,9.2766,13,0.2766,0.0298,1.4014
KnowageLabs_Knowage-Server,H,Business,28,90,3.2143,2,0.0714,0.0222,0.6222
adempiere_adempiere,JD,Business,365,941,2.5781,16,0.0438,0.017,6.2062
codinguser_gnucash-android,A,Business,8,98,12.25,1,0.125,0.0102,0.0816
gchq_stroom,H,Business,39,130,3.3333,1,0.0256,0.0077,0.3
dotCMS_core,H,Business,40,740,18.5,5,0.125,0.0068,0.2703
mtotschnig_MyExpenses,A,Business,3,287,95.6667,0,0,0,0
motech_motech,JD,Business,6,17,2.8333,0,0,0,0
Jasig_uPortal,H,Business,6,46,7.6667,0,0,0,0
javamelody_javamelody,H,Business,3,10,3.3333,0,0,0,0
openl-tablets_openl-tablets,H,Business,1,14,14,0,0,0,0
tmobile_pacbot,H,Business,5,11,2.2,0,0,0,0
jtablesaw_tablesaw,JD,Library,3,45,15,31,10.3333,0.6889,2.0667
bylee5_calcite-elasticsearch,JD,Library,28,167,5.9643,79,2.8214,0.4731,13.2455
AospExtended_platform_packages_apps_Settings,A,Library,6,14,2.3333,6,1,0.4286,2.5714
AOKP_packages_apps_Settings,A,Library,6,24,4,10,1.6667,0.4167,2.5
AOSPA_android_packages_apps_Settings,A,Library,6,24,4,10,1.6667,0.4167,2.5
omnirom_android_packages_apps_Settings,A,Library,6,24,4,10,1.6667,0.4167,2.5
quarkusio_quarkus,H,Library,2,12,6,4,2,0.3333,0.6667
tuguangquan_mybatis,JD,Library,9,28,3.1111,9,1,0.3214,2.8929
IanDarwin_javasrc,JD,Library,15,38,2.5333,10,0.6667,0.2632,3.9474
blynkkk_blynk-server,JD,Library,14,45,3.2143,11,0.7857,0.2444,3.4222
denimgroup_threadfix,H,Library,2,13,6.5,3,1.5,0.2308,0.4615
steinarb_mockrunner,JP,Library,11,32,2.9091,7,0.6364,0.2188,2.4063
virgo47_javasimon,JD,Library,4,14,3.5,3,0.75,0.2143,0.8571
mybatis_mybatis-3,JP,Library,12,35,2.9167,7,0.5833,0.2,2.4
syndesisio_syndesis-react,JP,Library,9,52,5.7778,10,1.1111,0.1923,1.7308
compomics_compomics-utilities,JD,Library,2,27,13.5,5,2.5,0.1852,0.3704
mixpanel_mixpanel-android,A,Library,1,23,23,4,4,0.1739,0.1739
wso2_product-apim,JD,Library,6,27,4.5,4,0.6667,0.1481,0.8889
olavloite_spanner-jdbc,JD,Library,24,149,6.2083,22,0.9167,0.1477,3.5436
nutzam_nutz,JD,Library,8,21,2.625,3,0.375,0.1429,1.1429
infiniteautomation_ma-core-public,H,Library,5,14,2.8,2,0.4,0.1429,0.7143
SurfaceOceanCarbonAtlas_socat,JD,Library,1,22,22,3,3,0.1364,0.1364
stanfordnlp_CoreNLP,JD,Library,2,16,8,2,1,0.125,0.25
wordpress-mobile_WordPress-Android,A,Library,17,221,13,26,1.5294,0.1176,2
robolectric_robolectric,A,Library,9,116,12.8889,12,1.3333,0.1034,0.931
orientechnologies_orientdb,JD,Library,10,59,5.9,6,0.6,0.1017,1.0169
iluwatar_java-design-patterns,H,Library,4,10,2.5,1,0.25,0.1,0.4
chenrenfei_sagacity-sqltoy,JD,Library,6,31,5.1667,3,0.5,0.0968,0.5806
opencb_cellbase,H,Library,4,21,5.25,2,0.5,0.0952,0.381
SmartDataAnalytics_DL-Learner,JD,Library,7,47,6.7143,4,0.5714,0.0851,0.5957
