projectName,projectGroup,Category,totalAcces,sumDBAccess,avgDBAccess,totalSmell,avgSmell,smellPerAccess,smellPerAvgDBAccess
AdrienPoupa_VinylMusicPlayer,A,Multimedia,4,16,4,0,0,0,0
Alfresco_alfresco-android-app,A,Library,8,29,3.625,0,0,0,0
AndlyticsProject_andlytics,A,Library,1,49,49,0,0,0,0
ankidroid_Anki-Android,A,Utility,1,35,35,1,1,0.0286,0.0286
AntennaPod_AntennaPod,A,Multimedia,2,100,50,13,6.5,0.13,0.26
AOKP_packages_apps_Settings,A,Library,6,24,4,0,0,0,0
AOSPA_android_packages_apps_Settings,A,Library,6,24,4,0,0,0,0
AospExtended_platform_packages_apps_Settings,A,Library,6,14,2.3333,0,0,0,0
AppLozic_Applozic-Android-SDK,A,Library,6,202,33.6667,40,6.6667,0.198,1.1881
avluis_Hentoid,A,Utility,1,29,29,0,0,0,0
bither_bither-android,A,Utility,4,73,18.25,0,0,0,0
breadwallet_breadwallet-android,A,Business,3,20,6.6667,0,0,0,0
codinguser_gnucash-android,A,Business,8,98,12.25,3,0.375,0.0306,0.2449
cyclestreets_android,A,Utility,3,24,8,0,0,0,0
haiwen_seadroid,A,Library,6,39,6.5,0,0,0,0
k9mail_k-9,A,Utility,37,165,4.4595,3,0.0811,0.0182,0.6727
kabouzeid_Phonograph,A,Multimedia,4,16,4,0,0,0,0
klinker24_talon-for-twitter-android,A,Utility,24,133,5.5417,16,0.6667,0.1203,2.8872
liato_android-bankdroid,A,Business,1,12,12,0,0,0,0
microsoft_appcenter-sdk-android,A,Library,4,14,3.5,0,0,0,0
MirakelX_mirakel-android,A,Utility,9,179,19.8889,3,0.3333,0.0168,0.1508
mixpanel_mixpanel-android,A,Library,1,23,23,0,0,0,0
mtotschnig_MyExpenses,A,Business,3,287,95.6667,1,0.3333,0.0035,0.0105
mycelium-com_wallet-android,A,Business,4,38,9.5,0,0,0,0
MythTV-Clients_MythTV-Android-Frontend,A,Library,2,32,16,0,0,0,0
nextcloud_android,A,Utility,1,16,16,0,0,0,0
nextcloud_news-android,A,Utility,4,10,2.5,0,0,0,0
omnirom_android_packages_apps_Settings,A,Library,6,24,4,0,0,0,0
OpenSilk_Orpheus,A,Utility,4,71,17.75,0,0,0,0
osmdroid_osmdroid,A,Multimedia,5,11,2.2,0,0,0,0
projectbuendia_client,A,Utility,5,17,3.4,0,0,0,0
qii_weiciyuan,A,Utility,21,138,6.5714,2,0.0952,0.0145,0.3043
quran_quran_android,A,Utility,6,30,5,0,0,0,0
ram-on_SkyTube,A,Multimedia,6,18,3,0,0,0,0
redsolution_xabber-android,A,Library,11,133,12.0909,0,0,0,0
robolectric_robolectric,A,Library,9,116,12.8889,1,0.1111,0.0086,0.0776
rovo89_XposedInstaller,A,Library,1,14,14,0,0,0,0
todoroo_astrid,A,Utility,5,49,9.8,0,0,0,0
tomahawk-player_tomahawk-android,A,Multimedia,3,427,142.3333,0,0,0,0
westnordost_StreetComplete,A,Utility,13,52,4,0,0,0,0
wordpress-mobile_WordPress-Android,A,Library,17,221,13,11,0.6471,0.0498,0.8462
yahoo_squidb,A,Library,2,12,6,0,0,0,0
yukuku_androidbible,A,Utility,6,91,15.1667,0,0,0,0
adempiere_adempiere,JD,Business,365,941,2.5781,0,0,0,0
blynkkk_blynk-server,JD,Library,14,45,3.2143,0,0,0,0
brettwooldridge_HikariCP,JD,Library,8,17,2.125,0,0,0,0
BrunoEberhard_minimal-j,JD,Library,10,47,4.7,0,0,0,0
bylee5_calcite-elasticsearch,JD,Library,28,167,5.9643,0,0,0,0
CapsicoHealth_Tilda,JD,Library,27,94,3.4815,0,0,0,0
chenrenfei_sagacity-sqltoy,JD,Library,6,31,5.1667,0,0,0,0
compomics_compomics-utilities,JD,Library,2,27,13.5,1,0.5,0.037,0.0741
ControlSystemStudio_cs-studio,JD,Library,25,119,4.76,0,0,0,0
datanucleus_datanucleus-rdbms,JD,Library,21,49,2.3333,0,0,0,0
deegree_deegree3,JD,Library,45,190,4.2222,0,0,0,0
eclipse_kura,JD,Library,6,30,5,0,0,0,0
eclipse_neoscada,JD,Library,7,12,1.7143,0,0,0,0
elasticjob_elastic-job-lite,JD,Library,3,31,10.3333,0,0,0,0
FTSRG_trainbenchmark,JD,Library,18,23,1.2778,0,0,0,0
germinator_flume-jdbc,JD,Library,2,23,11.5,0,0,0,0
GoogleCloudPlatform_java-docs-samples,JD,Library,6,25,4.1667,0,0,0,0
HashEngineering_myriadcoinj,JD,Library,2,76,38,0,0,0,0
IanDarwin_javasrc,JD,Library,15,38,2.5333,1,0.0667,0.0263,0.3947
JabRef_jabref,JD,Utility,6,39,6.5,0,0,0,0
jaytaylor_sql-layer,JD,Library,40,396,9.9,3,0.075,0.0076,0.303
jpmorganchase_tessera,JD,Business,9,16,1.7778,0,0,0,0
jtablesaw_tablesaw,JD,Library,3,45,15,0,0,0,0
Ledger-Software_Ledger,JD,Business,13,92,7.0769,0,0,0,0
lindenb_jvarkit,JD,Library,2,20,10,0,0,0,0
magarena_magarena,JD,Multimedia,2,21,10.5,0,0,0,0
marat-gainullin_platypus-js,JD,Library,9,19,2.1111,0,0,0,0
mikeberger_borg_calendar,JD,Utility,10,78,7.8,0,0,0,0
milesibastos_jTDS,JD,Library,31,1340,43.2258,0,0,0,0
motech_motech,JD,Business,6,17,2.8333,0,0,0,0
noelbush-xx_programd,JD,Library,4,48,12,0,0,0,0
npgall_cqengine,JD,Library,3,34,11.3333,2,0.6667,0.0588,0.1765
nutzam_nutz,JD,Library,8,21,2.625,0,0,0,0
oblac_jodd,JD,Library,4,14,3.5,0,0,0,0
olavloite_spanner-jdbc,JD,Library,24,149,6.2083,0,0,0,0
oltpbenchmark_oltpbench,JD,Library,131,303,2.313,0,0,0,0
orientechnologies_orientdb,JD,Library,10,59,5.9,0,0,0,0
PC-Logix_LanteaBot,JD,Library,29,144,4.9655,3,0.1034,0.0208,0.6042
prestodb_presto,JD,Library,32,165,5.1563,0,0,0,0
proteus-h2020_proteus-engine,JD,Library,4,12,3,0,0,0,0
revolsys_com.revolsys.open,JD,Library,8,25,3.125,0,0,0,0
Ronneesley_redesocial,JD,Business,20,105,5.25,0,0,0,0
Rxsto_Groovy-v2-Bot,JD,Multimedia,11,30,2.7273,0,0,0,0
SmartDataAnalytics_DL-Learner,JD,Library,7,47,6.7143,6,0.8571,0.1277,0.8936
sniffy_sniffy,JD,Library,14,47,3.3571,0,0,0,0
stanfordnlp_CoreNLP,JD,Library,2,16,8,0,0,0,0
Stratio_deep-spark,JD,Library,4,21,5.25,0,0,0,0
StrickenFromHistory_PocketMonstersOnline,JD,Multimedia,2,76,38,0,0,0,0
SurfaceOceanCarbonAtlas_socat,JD,Library,1,22,22,0,0,0,0
testcontainers_testcontainers-java,JD,Library,12,26,2.1667,0,0,0,0
triplea-Multimedia_triplea,JD,Multimedia,9,13,1.4444,0,0,0,0
tuguangquan_mybatis,JD,Library,9,28,3.1111,0,0,0,0
UWCS_choob,JD,Library,8,69,8.625,0,0,0,0
virgo47_javasimon,JD,Library,4,14,3.5,0,0,0,0
wso2_product-apim,JD,Library,6,27,4.5,0,0,0,0
xipki_xipki,JD,Library,21,193,9.1905,0,0,0,0
apromore_ApromoreCore,JP,Library,2,15,7.5,1,0.5,0.0667,0.1333
arnaudroger_SimpleFlatMapper,JP,Business,30,107,3.5667,3,0.1,0.028,0.8411
dashevo_dashj,JP,Library,3,34,11.3333,0,0,0,0
DiamondLightSource_daq-eclipse,JP,Library,7,52,7.4286,0,0,0,0
ebean-orm_ebean,JP,Library,27,33,1.2222,0,0,0,0
GreenDelta_olca-modules,JP,Library,15,163,10.8667,0,0,0,0
javawizard_jzbot,JP,Utility,5,23,4.6,0,0,0,0
jppf-grid_JPPF,JP,Business,7,21,3,0,0,0,0
modernmt_modernmt,JP,Business,4,21,5.25,1,0.25,0.0476,0.1905
mybatis_mybatis-3,JP,Library,12,35,2.9167,0,0,0,0
Netflix_conductor,JP,Library,3,10,3.3333,0,0,0,0
payara_Payara,JP,Library,32,120,3.75,0,0,0,0
samskivert_samskivert,JP,Library,7,46,6.5714,0,0,0,0
shroffk_phoebus,JP,Library,12,56,4.6667,0,0,0,0
steinarb_mockrunner,JP,Library,11,32,2.9091,0,0,0,0
syndesisio_syndesis-react,JP,Library,9,52,5.7778,0,0,0,0
wso2_carbon-apimgt,JP,Library,12,656,54.6667,0,0,0,0
apiman_apiman,H,Library,6,17,2.8333,0,0,0,0
appirio-tech_direct-app,H,Library,95,876,9.2211,0,0,0,0
AxonFramework_AxonFramework,H,Library,11,48,4.3636,0,0,0,0
bbossgroups_bboss,H,Library,30,85,2.8333,0,0,0,0
biblelamp_JavaExercises,H,Business,5,13,2.6,0,0,0,0
bio2rdf_bio2rdf-scripts,H,Utility,62,3055,49.2742,6,0.0968,0.002,0.1218
Blazebit_blaze-persistence,H,Library,8,61,7.625,0,0,0,0
collectionspace_services,H,Library,8,72,9,0,0,0,0
denimgroup_threadfix,H,Library,2,13,6.5,0,0,0,0
dotCMS_core,H,Business,40,740,18.5,0,0,0,0
eclipse-ee4j_eclipselink,H,Library,43,1371,31.8837,0,0,0,0
eugenp_tutorials,H,Business,26,97,3.7308,0,0,0,0
flowable_flowable-engine,H,Library,4,15,3.75,0,0,0,0
gchq_stroom,H,Business,39,130,3.3333,0,0,0,0
hudec_sql-processor,H,Library,3,20,6.6667,0,0,0,0
igorhvr_squirrel-sql,H,Library,92,181,1.9674,0,0,0,0
iluwatar_java-design-patterns,H,Library,4,10,2.5,0,0,0,0
infiniteautomation_ma-core-public,H,Library,5,14,2.8,0,0,0,0
Jasig_uPortal,H,Business,6,46,7.6667,0,0,0,0
javamelody_javamelody,H,Business,3,10,3.3333,0,0,0,0
jboss-set_eap-additional-testsuite,H,Library,2,16,8,0,0,0,0
jbosstools_jbosstools-hibernate,H,Library,9,36,4,0,0,0,0
jdmr_mateo,H,Business,47,436,9.2766,0,0,0,0
KnowageLabs_Knowage-Server,H,Business,28,90,3.2143,0,0,0,0
limaofeng_jfantasy,H,Library,4,12,3,0,0,0,0
opencb_cellbase,H,Library,4,21,5.25,0,0,0,0
openl-tablets_openl-tablets,H,Business,1,14,14,0,0,0,0
quarkusio_quarkus,H,Library,2,12,6,2,1,0.1667,0.3333
querydsl_querydsl,H,Library,23,249,10.8261,0,0,0,0
searchisko_searchisko,H,Library,3,10,3.3333,0,0,0,0
SmartDataAnalytics_jena-sparql-api,H,Library,4,17,4.25,0,0,0,0
spring-projects_spring-framework,H,Library,9,12,1.3333,0,0,0,0
temenostech_IRIS,H,Library,5,12,2.4,0,0,0,0
tmobile_pacbot,H,Business,5,11,2.2,0,0,0,0
