antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'SpaghettiCode'}),frozenset({'AntiSingleton'}),0.010231124807395993,0.06329738058551618,0.010231124807395993,1.0,15.798442064264849,0.009583521406644334,inf
frozenset({'AntiSingleton'}),frozenset({'SpaghettiCode'}),0.06329738058551618,0.010231124807395993,0.010231124807395993,0.16163583252190847,15.798442064264849,0.009583521406644334,1.180595394683861
frozenset({'LongParameterList'}),frozenset({'ComplexClass'}),0.3398459167950693,0.36567026194144836,0.1945146379044684,0.5723612622415669,1.5652387459749577,0.07024309249028375,1.4833308632972237
frozenset({'ComplexClass'}),frozenset({'LongParameterList'}),0.36567026194144836,0.3398459167950693,0.1945146379044684,0.5319399966290241,1.5652387459749577,0.07024309249028375,1.410404816584391
frozenset({'ComplexClass'}),frozenset({'IMPLICIT_COLUMNS'}),0.36567026194144836,0.038089368258859786,0.01694915254237288,0.04635091859093208,1.2168991167279497,0.0030210032739713347,1.008663092633472
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'ComplexClass'}),0.038089368258859786,0.36567026194144836,0.01694915254237288,0.4449838187702265,1.2168991167279497,0.0030210032739713347,1.142903143207536
frozenset({'ComplexClass'}),frozenset({'AntiSingleton'}),0.36567026194144836,0.06329738058551618,0.027919876733436055,0.07635260407888084,1.206252191995951,0.004773906994522806,1.0141344235376155
frozenset({'AntiSingleton'}),frozenset({'ComplexClass'}),0.06329738058551618,0.36567026194144836,0.027919876733436055,0.44109055501460565,1.206252191995951,0.004773906994522806,1.1349418832511018
frozenset({'LongParameterList'}),frozenset({'LongMethod'}),0.3398459167950693,0.5273343605546995,0.20172573189522341,0.5935799782372144,1.1256235562060313,0.022513302674969926,1.1629979187422523
frozenset({'LongMethod'}),frozenset({'LongParameterList'}),0.5273343605546995,0.3398459167950693,0.20172573189522341,0.38253856942496495,1.1256235562060313,0.022513302674969926,1.0691422176606828
frozenset({'LongMethod'}),frozenset({'IMPLICIT_COLUMNS'}),0.5273343605546995,0.038089368258859786,0.020708782742681047,0.03927068723702665,1.0310144019753356,0.0006229500879627523,1.0012296064692452
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'LongMethod'}),0.038089368258859786,0.5273343605546995,0.020708782742681047,0.5436893203883495,1.0310144019753356,0.0006229500879627523,1.0358417204865096
