antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'SpaghettiCode'}),frozenset({'AntiSingleton'}),0.020187515837486274,0.06664414224174339,0.020187515837486274,1.0,15.005069708491762,0.018842136160505393,inf
frozenset({'AntiSingleton'}),frozenset({'SpaghettiCode'}),0.06664414224174339,0.020187515837486274,0.020187515837486274,0.302915082382763,15.005069708491762,0.018842136160505393,1.4055855454622244
frozenset({'FEAR_OF_THE_UNKNOWN'}),frozenset({'IMPLICIT_COLUMNS'}),0.025086578258298842,0.16335839175606048,0.012416589238955993,0.494949494949495,3.029838195815445,0.008318486160017742,1.6565503843230005
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'FEAR_OF_THE_UNKNOWN'}),0.16335839175606048,0.025086578258298842,0.012416589238955993,0.07600827300930713,3.0298381958154446,0.008318486160017742,1.0551105526851987
frozenset({'SpaghettiCode'}),frozenset({'ComplexClass'}),0.020187515837486274,0.42115043500295635,0.018160317594391417,0.899581589958159,2.1360101170306143,0.009658336517805002,5.764376918095557
frozenset({'ComplexClass'}),frozenset({'SpaghettiCode'}),0.42115043500295635,0.020187515837486274,0.018160317594391417,0.043120738066586436,2.1360101170306143,0.009658336517805002,1.0239666833020946
frozenset({'LongParameterList'}),frozenset({'ComplexClass'}),0.17585944758847877,0.42115043500295635,0.13126108624039193,0.7463976945244957,1.7722828530837353,0.05719780338912449,2.282509080158797
frozenset({'ComplexClass'}),frozenset({'LongParameterList'}),0.42115043500295635,0.17585944758847877,0.13126108624039193,0.31167268351383876,1.7722828530837353,0.05719780338912449,1.1973090892551996
frozenset({'LongParameterList'}),frozenset({'AntiSingleton'}),0.17585944758847877,0.06664414224174339,0.019511783089787987,0.11095100864553313,1.6648276189536968,0.007791781050146992,1.0498362484347326
frozenset({'AntiSingleton'}),frozenset({'LongParameterList'}),0.06664414224174339,0.17585944758847877,0.019511783089787987,0.2927756653992395,1.6648276189536966,0.007791781050146992,1.165317017657151
frozenset({'ComplexClass'}),frozenset({'AntiSingleton'}),0.42115043500295635,0.06664414224174339,0.042402229918067406,0.10068190934616927,1.5107390681233182,0.014335020422558277,1.0378484181049659
frozenset({'AntiSingleton'}),frozenset({'ComplexClass'}),0.06664414224174339,0.42115043500295635,0.042402229918067406,0.6362484157160964,1.5107390681233182,0.014335020422558277,1.5913320793821166
frozenset({'LongMethod'}),frozenset({'IMPLICIT_COLUMNS'}),0.5037587634090717,0.16335839175606048,0.0853957259903708,0.16951710261569417,1.0377006090316458,0.0031025045668430923,1.0074158190120848
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'LongMethod'}),0.16335839175606048,0.5037587634090717,0.0853957259903708,0.5227507755946225,1.0377006090316458,0.0031025045668430923,1.0397947470930176
frozenset({'LongParameterList'}),frozenset({'IMPLICIT_COLUMNS'}),0.17585944758847877,0.16335839175606048,0.029478841118337696,0.16762728146013448,1.026132050261909,0.000750724585174594,1.0051285795521536
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'LongParameterList'}),0.16335839175606048,0.17585944758847877,0.029478841118337696,0.18045501551189244,1.026132050261909,0.000750724585174594,1.0056074626901466
