antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'FEAR_OF_THE_UNKNOWN'}),frozenset({'AntiSingleton'}),0.06678230702515178,0.06764960971379011,0.020815264527320035,0.3116883116883117,4.607392607392607,0.016297467521282014,1.3545467934346824
frozenset({'AntiSingleton'}),frozenset({'FEAR_OF_THE_UNKNOWN'}),0.06764960971379011,0.06678230702515178,0.020815264527320035,0.3076923076923077,4.607392607392607,0.016297467521282014,1.3479811120747809
frozenset({'LongParameterList'}),frozenset({'ComplexClass'}),0.15871639202081528,0.30095403295750217,0.11274934952298352,0.7103825136612021,2.360435268735925,0.06498301124785524,2.413687018278812
frozenset({'ComplexClass'}),frozenset({'LongParameterList'}),0.30095403295750217,0.15871639202081528,0.11274934952298352,0.37463976945244953,2.360435268735925,0.06498301124785524,1.3452783961694796
frozenset({'LongParameterList'}),frozenset({'FEAR_OF_THE_UNKNOWN'}),0.15871639202081528,0.06678230702515178,0.019080659150043366,0.12021857923497267,1.8001561280249803,0.00848121232818493,1.0607381230707902
frozenset({'FEAR_OF_THE_UNKNOWN'}),frozenset({'LongParameterList'}),0.06678230702515178,0.15871639202081528,0.019080659150043366,0.2857142857142857,1.8001561280249803,0.00848121232818493,1.1777970511708586
frozenset({'AntiSingleton'}),frozenset({'LongMethod'}),0.06764960971379011,0.3798785776235906,0.04596704249783174,0.6794871794871795,1.788695703079265,0.020268404982966115,1.9347788378143973
frozenset({'LongMethod'}),frozenset({'AntiSingleton'}),0.3798785776235906,0.06764960971379011,0.04596704249783174,0.12100456621004566,1.7886957030792647,0.020268404982966115,1.0606999245334023
frozenset({'LongMethod'}),frozenset({'ComplexClass'}),0.3798785776235906,0.30095403295750217,0.18126626192541198,0.47716894977168955,1.5855210348321558,0.06694027195543284,1.3370398845616334
frozenset({'ComplexClass'}),frozenset({'LongMethod'}),0.30095403295750217,0.3798785776235906,0.18126626192541198,0.6023054755043228,1.5855210348321558,0.06694027195543284,1.5592908229319857
frozenset({'ComplexClass'}),frozenset({'IMPLICIT_COLUMNS'}),0.30095403295750217,0.19774501300954034,0.09280138768430182,0.30835734870317005,1.5593685221699782,0.033289228521846924,1.1599270020237062
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'ComplexClass'}),0.19774501300954034,0.30095403295750217,0.09280138768430182,0.46929824561403505,1.559368522169978,0.033289228521846924,1.3172105825263596
frozenset({'LongParameterList'}),frozenset({'LongMethod'}),0.15871639202081528,0.3798785776235906,0.08759757155247182,0.5519125683060109,1.4528657334630835,0.027304614306056303,1.3839295157912548
frozenset({'LongMethod'}),frozenset({'LongParameterList'}),0.3798785776235906,0.15871639202081528,0.08759757155247182,0.2305936073059361,1.4528657334630835,0.027304614306056303,1.0934190513201274
frozenset({'ComplexClass'}),frozenset({'FEAR_OF_THE_UNKNOWN'}),0.30095403295750217,0.06678230702515178,0.028620988725065046,0.09510086455331411,1.4240428159736513,0.008522584095639489,1.0312947116632878
frozenset({'FEAR_OF_THE_UNKNOWN'}),frozenset({'ComplexClass'}),0.06678230702515178,0.30095403295750217,0.028620988725065046,0.4285714285714285,1.4240428159736513,0.008522584095639489,1.223330442324371
frozenset({'LongParameterList'}),frozenset({'IMPLICIT_COLUMNS'}),0.15871639202081528,0.19774501300954034,0.04336513443191674,0.27322404371584696,1.3816987824753137,0.011979759426933315,1.1038546061598054
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'LongParameterList'}),0.19774501300954034,0.15871639202081528,0.04336513443191674,0.21929824561403508,1.3816987824753137,0.011979759426933315,1.0775992281980569
frozenset({'ComplexClass'}),frozenset({'AntiSingleton'}),0.30095403295750217,0.06764960971379011,0.027753686036426712,0.09221902017291066,1.3631862853764871,0.007394263165060564,1.0270653505692535
frozenset({'AntiSingleton'}),frozenset({'ComplexClass'}),0.06764960971379011,0.30095403295750217,0.027753686036426712,0.41025641025641024,1.3631862853764871,0.007394263165060564,1.185338813680757
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'LongMethod'}),0.19774501300954034,0.3798785776235906,0.10147441457068516,0.513157894736842,1.3508471521268925,0.026355320296462564,1.2737629216380297
frozenset({'LongMethod'}),frozenset({'IMPLICIT_COLUMNS'}),0.3798785776235906,0.19774501300954034,0.10147441457068516,0.2671232876712329,1.3508471521268925,0.026355320296462564,1.094665683183244
frozenset({'IMPLICIT_COLUMNS'}),frozenset({'FEAR_OF_THE_UNKNOWN'}),0.19774501300954034,0.06678230702515178,0.01647875108412836,0.08333333333333333,1.2478354978354977,0.0032728829126326044,1.018055665063471
frozenset({'FEAR_OF_THE_UNKNOWN'}),frozenset({'IMPLICIT_COLUMNS'}),0.06678230702515178,0.19774501300954034,0.01647875108412836,0.24675324675324672,1.2478354978354977,0.0032728829126326044,1.0650626551425066
frozenset({'FEAR_OF_THE_UNKNOWN'}),frozenset({'LongMethod'}),0.06678230702515178,0.3798785776235906,0.031222896790980052,0.4675324675324675,1.2307418608788472,0.005853728987843469,1.1646182810483783
frozenset({'LongMethod'}),frozenset({'FEAR_OF_THE_UNKNOWN'}),0.3798785776235906,0.06678230702515178,0.031222896790980052,0.08219178082191782,1.2307418608788472,0.005853728987843469,1.0167894266740884
