file_id,projectGroup,category,smellType,status,tInit,tFinal,first,last,T,days,DBsmell
A30363,A,Utility,IMPLICIT_COLUMNS,0,2012-02-08 19:34:46,2015-12-28 07:49:03,0,1,1418 days 12:14:17.000000000,1418,True
A30809,A,Utility,IMPLICIT_COLUMNS,0,2012-02-08 19:34:46,2015-12-28 07:49:03,1,1,1418 days 12:14:17.000000000,1418,True
A30822,A,Utility,IMPLICIT_COLUMNS,1,2012-02-08 19:34:46,2012-06-26 20:24:51,1,0,139 days 00:50:05.000000000,139,True
A31130,A,Utility,IMPLICIT_COLUMNS,1,2012-09-24 20:30:51,2013-12-16 07:46:49,1,0,447 days 11:15:58.000000000,447,True
A14490,A,Multimedia,IMPLICIT_COLUMNS,0,2015-05-19 09:58:38,2019-10-09 10:09:04,1,1,1604 days 00:10:26.000000000,1604,True
A61902,A,Library,IMPLICIT_COLUMNS,0,2018-05-09 23:41:23,2019-05-19 12:55:52,0,1,374 days 13:14:29.000000000,374,True
A61901,A,Library,IMPLICIT_COLUMNS,0,2018-05-09 23:41:23,2019-05-19 12:55:52,0,1,374 days 13:14:29.000000000,374,True
A28037,A,Library,IMPLICIT_COLUMNS,0,2018-01-24 21:43:24,2019-10-03 09:00:45,1,1,616 days 11:17:21.000000000,616,True
A27351,A,Library,IMPLICIT_COLUMNS,0,2017-12-15 21:52:43,2019-10-03 09:00:45,1,1,656 days 11:08:02.000000000,656,True
A35241,A,Library,IMPLICIT_COLUMNS,0,2018-11-01 19:32:51,2019-10-03 09:00:45,1,1,335 days 13:27:54.000000000,335,True
A46432,A,Library,IMPLICIT_COLUMNS,0,2015-11-23 08:33:31,2019-10-06 08:52:12,1,1,1413 days 00:18:41.000000000,1413,True
A46468,A,Library,IMPLICIT_COLUMNS,0,2015-11-23 08:33:31,2019-10-06 08:52:12,1,1,1413 days 00:18:41.000000000,1413,True
A86,A,Utility,IMPLICIT_COLUMNS,0,2018-07-02 05:54:51,2019-09-29 22:00:50,0,1,454 days 16:05:59.000000000,454,True
A34375,A,Utility,IMPLICIT_COLUMNS,0,2014-12-05 03:11:17,2015-04-13 05:51:45,1,1,129 days 02:40:28.000000000,129,True
A34376,A,Utility,IMPLICIT_COLUMNS,0,2014-12-05 03:11:17,2015-04-13 05:51:45,1,1,129 days 02:40:28.000000000,129,True
A34378,A,Utility,IMPLICIT_COLUMNS,0,2014-12-05 03:11:17,2015-04-13 05:51:45,1,1,129 days 02:40:28.000000000,129,True
A1802,A,Business,IMPLICIT_COLUMNS,0,2018-04-05 00:33:42,2019-09-19 07:15:10,0,1,532 days 06:41:28.000000000,532,True
A5520,A,Business,IMPLICIT_COLUMNS,0,2015-12-08 10:03:03,2018-06-15 14:41:46,1,1,920 days 04:38:43.000000000,920,True
A25793,A,Business,IMPLICIT_COLUMNS,0,2017-07-24 09:08:53,2019-09-30 05:55:54,1,1,797 days 20:47:01.000000000,797,True
A25568,A,Business,IMPLICIT_COLUMNS,0,2017-07-24 09:08:53,2019-09-30 05:55:54,1,1,797 days 20:47:01.000000000,797,True
A42221,A,Utility,IMPLICIT_COLUMNS,0,2016-03-19 14:03:15,2019-09-26 12:51:28,1,1,1285 days 22:48:13.000000000,1285,True
A13531,A,Library,IMPLICIT_COLUMNS,0,2013-11-22 00:20:23,2019-10-09 21:02:53,1,1,2147 days 20:42:30.000000000,2147,True
A47871,A,Utility,IMPLICIT_COLUMNS,0,2012-08-03 12:37:49,2015-10-29 12:05:08,1,1,1181 days 23:27:19.000000000,1181,True
A48079,A,Utility,IMPLICIT_COLUMNS,0,2012-10-31 02:24:59,2015-10-29 12:05:08,1,1,1093 days 09:40:09.000000000,1093,True
A48700,A,Utility,IMPLICIT_COLUMNS,0,2013-09-04 11:55:41,2015-10-29 12:05:08,1,1,785 days 00:09:27.000000000,785,True
A48699,A,Utility,IMPLICIT_COLUMNS,0,2013-09-04 11:55:41,2015-10-29 12:05:08,1,1,785 days 00:09:27.000000000,785,True
A48564,A,Utility,IMPLICIT_COLUMNS,0,2013-04-20 13:52:59,2015-10-29 12:05:08,1,1,921 days 22:12:09.000000000,921,True
