category,version_added,version_removed,_date,version,projectGroup,file_id,FEAR_OF_THE_UNKNOWN,IMPLICIT_COLUMNS,LongMethod,LongParameterList
Library,1,127,2019-08-08 08:22:22,0,A,A54583,0,0,0,1
Library,1,127,2019-08-08 08:22:22,0,A,A54601,0,0,0,0
Library,0,127,2019-08-08 08:22:22,0,A,A54766,0,0,0,0
Library,1,127,2019-08-08 08:22:22,0,A,A54367,0,0,0,0
Library,1,127,2015-07-01 09:56:20,1,A,A54309,0,0,1,0
Library,1,127,2015-07-01 09:56:20,1,A,A54231,0,0,0,0
Library,1,127,2015-07-01 09:56:20,1,A,A54218,0,0,0,0
Library,1,127,2015-07-01 09:56:20,1,A,A54367,0,0,0,0
Library,0,127,2019-08-08 08:22:22,0,A,A54825,0,0,0,0
Multimedia,2,127,2017-05-22 18:34:59,1,A,A34864,0,0,1,0
Multimedia,2,127,2017-05-22 18:34:59,1,A,A34865,0,0,1,0
Multimedia,2,127,2017-05-22 18:34:59,1,A,A34866,0,0,1,0
Multimedia,3,127,2015-10-11 17:39:40,2,A,A34596,0,0,0,0
Multimedia,3,127,2015-10-11 17:39:40,2,A,A34595,0,0,0,0
Multimedia,2,127,2019-10-08 13:13:17,0,A,A34866,0,0,1,0
Multimedia,2,127,2019-10-08 13:13:17,0,A,A34865,0,0,1,0
Multimedia,2,127,2019-10-08 13:13:17,0,A,A34864,0,0,0,0
Multimedia,0,127,2019-10-08 13:13:17,0,A,A36095,0,0,0,0
Library,1,127,2019-08-08 08:22:22,0,A,A54309,0,0,1,0
Library,1,127,2019-08-08 08:22:22,0,A,A54231,0,0,0,0
Library,1,127,2019-08-08 08:22:22,0,A,A54218,0,0,0,0
Multimedia,3,127,2015-03-25 08:54:37,3,A,A34596,0,0,0,0
Multimedia,3,127,2015-03-25 08:54:37,3,A,A34595,0,0,0,0
Multimedia,2,127,2015-10-11 17:39:40,2,A,A34866,0,0,1,0
Multimedia,2,127,2015-10-11 17:39:40,2,A,A34865,0,0,1,0
Multimedia,2,127,2015-10-11 17:39:40,2,A,A34864,0,0,1,0
Utility,16,127,2019-10-09 17:01:51,0,A,A30488,1,0,1,1
Library,1,127,2013-04-14 20:00:40,1,A,A22939,0,0,1,0
Utility,16,127,2015-12-28 07:49:03,2,A,A30488,1,0,0,1
Utility,18,127,2015-12-28 07:49:03,2,A,A30363,0,3,1,0
Utility,12,127,2015-12-28 07:49:03,2,A,A30809,0,1,0,0
Utility,11,127,2015-12-28 07:49:03,2,A,A31043,0,0,1,1
Utility,12,127,2015-12-28 07:49:03,2,A,A30825,0,0,1,0
Utility,12,127,2015-12-28 07:49:03,2,A,A30824,3,0,0,0
Utility,12,127,2015-12-28 07:49:03,2,A,A30822,0,0,0,0
Utility,10,127,2015-12-28 07:49:03,2,A,A31130,0,0,1,0
Utility,16,127,2017-08-06 12:55:09,1,A,A30488,1,0,0,1
Library,2,127,2013-05-19 12:10:24,2,A,A53900,0,0,0,0
Library,2,127,2013-05-19 12:10:24,2,A,A53920,0,0,0,0
Library,2,127,2013-05-19 12:10:24,2,A,A53883,0,0,0,0
Library,1,127,2015-07-01 09:56:20,1,A,A54601,0,0,0,0
Library,1,127,2015-07-01 09:56:20,1,A,A54583,0,0,0,1
Library,1,127,2017-04-20 02:54:41,0,A,A22939,0,0,0,0
Utility,12,127,2012-02-08 19:34:46,12,A,A30809,0,1,0,0
Utility,12,127,2012-02-08 19:34:46,12,A,A30822,0,1,0,0
Utility,12,127,2012-02-08 19:34:46,12,A,A30824,0,0,1,0
Utility,12,127,2012-06-26 20:24:51,11,A,A30825,0,0,0,0
Utility,16,127,2011-11-01 21:28:41,13,A,A30488,1,0,0,1
Utility,12,127,2012-06-26 20:24:51,11,A,A30824,1,0,1,0
Utility,12,127,2012-06-26 20:24:51,11,A,A30822,0,0,0,0
Utility,12,127,2012-06-26 20:24:51,11,A,A30809,0,1,0,0
Utility,11,127,2012-06-26 20:24:51,11,A,A31043,0,0,1,1
Multimedia,2,127,2019-10-09 10:09:04,0,A,A15558,6,0,0,0
Utility,16,127,2012-02-08 19:34:46,12,A,A30488,0,0,0,1
Utility,18,127,2012-02-08 19:34:46,12,A,A30363,0,3,0,0
Utility,16,127,2011-09-08 21:23:53,14,A,A30488,1,0,0,1
Utility,18,127,2011-05-08 11:47:32,15,A,A30363,0,0,0,1
Utility,18,127,2010-11-29 07:53:21,17,A,A30363,0,0,0,0
Utility,16,127,2011-05-08 11:47:32,15,A,A30488,0,0,0,1
Utility,18,127,2011-02-15 08:34:10,16,A,A30363,0,0,0,0
Utility,16,127,2011-02-15 08:34:10,16,A,A30488,1,0,0,1
Utility,18,127,2009-12-28 13:13:44,18,A,A30363,0,0,0,0
Multimedia,7,127,2019-10-09 10:09:04,0,A,A14490,7,2,1,0
Utility,18,127,2011-11-01 21:28:41,13,A,A30363,0,0,0,1
Utility,18,127,2011-09-08 21:23:53,14,A,A30363,0,0,0,1
Utility,16,127,2012-09-24 20:30:51,10,A,A30488,1,0,0,0
Multimedia,7,127,2019-06-07 07:47:55,1,A,A14490,7,2,1,0
Multimedia,2,127,2019-06-07 07:47:55,1,A,A15558,6,0,0,0
Utility,12,127,2012-09-24 20:30:51,10,A,A30822,0,0,0,0
Utility,12,127,2012-09-24 20:30:51,10,A,A30824,1,0,1,0
Utility,12,127,2012-09-24 20:30:51,10,A,A30825,0,0,0,0
Utility,12,127,2012-09-24 20:30:51,10,A,A30809,0,1,0,0
Utility,10,127,2013-12-16 07:46:49,9,A,A31130,0,0,1,0
Utility,11,127,2013-12-16 07:46:49,9,A,A31043,0,0,1,1
Utility,18,127,2012-09-24 20:30:51,10,A,A30363,0,3,0,0
Utility,16,127,2012-06-26 20:24:51,11,A,A30488,0,0,0,1
Utility,11,127,2012-09-24 20:30:51,10,A,A31043,0,0,1,1
Utility,18,127,2012-06-26 20:24:51,11,A,A30363,0,3,0,0
Utility,12,127,2013-12-16 07:46:49,9,A,A30822,0,0,0,0
Utility,12,127,2013-12-16 07:46:49,9,A,A30825,0,0,0,0
Utility,10,127,2012-09-24 20:30:51,10,A,A31130,0,2,1,0
Utility,12,127,2013-12-16 07:46:49,9,A,A30824,1,0,1,0
Utility,12,127,2013-12-16 07:46:49,9,A,A30809,0,1,1,0
Multimedia,7,127,2016-01-25 21:28:55,5,A,A14490,13,3,1,0
Multimedia,7,127,2016-05-10 18:51:21,4,A,A14490,13,3,1,0
Multimedia,7,127,2015-05-19 09:58:38,7,A,A14490,17,2,1,0
Multimedia,7,127,2015-10-02 20:26:42,6,A,A14490,16,2,1,0
Multimedia,2,127,2018-09-08 13:52:16,2,A,A15558,6,0,0,0
Multimedia,7,127,2018-09-08 13:52:16,2,A,A14490,7,2,1,0
Multimedia,7,127,2017-10-21 17:21:25,3,A,A14490,13,2,1,0
Utility,11,127,2014-10-21 20:56:39,6,A,A31043,0,0,1,1
Utility,10,127,2014-10-21 20:56:39,6,A,A31130,0,0,1,0
Utility,12,127,2014-10-21 20:56:39,6,A,A30825,0,0,1,0
Utility,18,127,2014-10-21 20:56:39,6,A,A30363,0,3,1,0
Utility,16,127,2014-10-21 20:56:39,6,A,A30488,1,0,0,1
Utility,12,127,2014-10-21 20:56:39,6,A,A30809,0,1,1,0
Utility,12,127,2014-10-21 20:56:39,6,A,A30822,0,0,0,0
Utility,12,127,2014-10-21 20:56:39,6,A,A30824,3,0,0,0
Utility,4,127,2015-04-04 00:26:04,4,A,A33357,0,0,0,1
Utility,18,127,2015-01-20 04:58:17,5,A,A30363,0,3,1,0
Utility,16,127,2015-01-20 04:58:17,5,A,A30488,1,0,0,1
Utility,10,127,2015-01-20 04:58:17,5,A,A31130,0,0,1,0
Utility,12,127,2015-01-20 04:58:17,5,A,A30809,0,1,1,0
Utility,12,127,2015-01-20 04:58:17,5,A,A30822,0,0,0,0
Utility,12,127,2015-01-20 04:58:17,5,A,A30824,3,0,0,0
Utility,12,127,2015-01-20 04:58:17,5,A,A30825,0,0,1,0
Utility,11,127,2015-01-20 04:58:17,5,A,A31043,0,0,1,1
Utility,12,127,2014-04-25 06:58:39,8,A,A30809,0,1,1,0
Utility,12,127,2014-04-25 06:58:39,8,A,A30822,0,0,0,0
Utility,12,127,2014-04-25 06:58:39,8,A,A30824,1,0,1,0
Utility,12,127,2014-04-25 06:58:39,8,A,A30825,0,0,1,0
Utility,11,127,2014-04-25 06:58:39,8,A,A31043,0,0,1,1
Utility,18,127,2014-04-25 06:58:39,8,A,A30363,0,3,0,0
Utility,16,127,2014-04-25 06:58:39,8,A,A30488,1,0,1,1
Utility,18,127,2013-12-16 07:46:49,9,A,A30363,0,3,0,0
Utility,16,127,2013-12-16 07:46:49,9,A,A30488,1,0,0,0
Utility,10,127,2014-04-25 06:58:39,8,A,A31130,0,0,0,0
Utility,11,127,2014-07-22 07:56:11,7,A,A31043,0,0,1,1
Utility,10,127,2014-07-22 07:56:11,7,A,A31130,0,0,1,0
Utility,12,127,2014-07-22 07:56:11,7,A,A30825,0,0,1,0
Utility,12,127,2014-07-22 07:56:11,7,A,A30824,1,0,1,0
Utility,18,127,2014-07-22 07:56:11,7,A,A30363,0,3,1,0
Utility,16,127,2014-07-22 07:56:11,7,A,A30488,1,0,1,1
Utility,12,127,2014-07-22 07:56:11,7,A,A30809,0,1,1,0
Utility,12,127,2014-07-22 07:56:11,7,A,A30822,0,0,0,0
Utility,18,127,2015-04-04 00:26:04,4,A,A30363,0,3,1,0
Utility,12,127,2015-10-27 02:32:08,3,A,A30825,0,0,1,0
Utility,12,127,2015-10-27 02:32:08,3,A,A30824,3,0,0,0
Utility,12,127,2015-10-27 02:32:08,3,A,A30822,0,0,0,0
Utility,11,127,2015-10-27 02:32:08,3,A,A31043,0,0,1,1
Utility,12,127,2015-10-27 02:32:08,3,A,A30809,0,1,1,0
Utility,16,127,2015-04-04 00:26:04,4,A,A30488,1,0,1,1
Utility,12,127,2015-04-04 00:26:04,4,A,A30825,0,0,1,0
Utility,11,127,2015-04-04 00:26:04,4,A,A31043,0,0,1,1
Utility,12,127,2015-04-04 00:26:04,4,A,A30824,3,0,0,0
Utility,12,127,2015-04-04 00:26:04,4,A,A30822,0,0,0,0
Utility,12,127,2015-04-04 00:26:04,4,A,A30809,0,1,1,0
Utility,10,127,2015-10-27 02:32:08,3,A,A31130,0,0,0,0
Utility,4,127,2015-10-27 02:32:08,3,A,A33357,0,0,0,1
Utility,18,127,2015-10-27 02:32:08,3,A,A30363,0,3,1,0
Utility,4,127,2015-12-28 07:49:03,2,A,A33357,0,0,0,1
Utility,10,127,2015-04-04 00:26:04,4,A,A31130,0,0,0,0
Utility,16,127,2015-10-27 02:32:08,3,A,A30488,1,0,0,1
Library,5,127,2019-05-19 12:55:52,0,A,A61588,0,0,0,0
Library,5,127,2019-05-19 12:55:52,0,A,A61902,0,2,1,0
Library,5,127,2019-05-19 12:55:52,0,A,A61901,0,3,0,0
Library,5,127,2019-05-19 12:55:52,0,A,A61464,0,0,0,0
Library,63,127,2019-05-19 12:55:52,0,A,A58514,0,0,0,0
Library,5,127,2018-05-09 23:41:23,1,A,A61588,0,0,0,0
Library,5,127,2018-05-09 23:41:23,1,A,A61464,0,0,0,0
Library,63,127,2018-05-09 23:41:23,1,A,A58514,0,0,0,0
Library,5,127,2018-04-05 03:55:05,2,A,A61464,0,0,0,0
Library,5,127,2018-04-05 03:55:05,2,A,A61588,0,0,0,0
Library,5,127,2018-05-09 23:41:23,1,A,A61902,0,2,1,0
Library,5,127,2018-05-09 23:41:23,1,A,A61901,0,3,0,0
Library,63,127,2018-04-05 03:55:05,2,A,A58514,0,0,0,0
Library,63,127,2018-03-16 22:40:38,3,A,A58514,0,0,0,0
Library,5,127,2018-04-05 03:55:05,2,A,A61902,0,0,1,0
Library,5,127,2018-04-05 03:55:05,2,A,A61901,0,0,0,0
Library,63,127,2018-01-19 05:26:03,5,A,A58514,0,0,0,0
Library,63,127,2017-12-08 01:08:11,6,A,A58514,0,0,0,0
Library,63,127,2018-02-17 03:48:02,4,A,A58514,0,0,0,0
Library,63,127,2017-08-25 00:57:11,10,A,A58514,0,0,0,0
Library,64,127,2018-04-25 15:04:46,2,A,A8610,0,0,0,0
Library,64,127,2018-03-30 19:19:31,3,A,A8610,0,0,0,0
Library,64,127,2017-12-05 18:34:05,7,A,A8610,0,0,0,0
Library,64,127,2018-01-17 21:29:54,6,A,A8610,0,0,0,0
Library,64,127,2018-03-12 19:26:33,4,A,A8610,0,0,0,0
Library,64,127,2017-09-16 00:38:15,10,A,A8610,0,0,0,0
Library,64,127,2017-10-11 22:25:38,9,A,A8610,0,0,0,0
Library,64,127,2017-08-23 02:06:12,11,A,A8610,0,0,0,0
Library,64,127,2017-08-07 08:56:32,12,A,A8610,0,0,0,0
Library,64,127,2017-07-27 02:14:28,13,A,A8610,0,0,0,0
Library,64,127,2017-07-06 23:46:39,15,A,A8610,0,0,0,0
Library,64,127,2017-07-18 22:37:19,14,A,A8610,0,0,0,0
Library,20,127,2019-10-03 09:00:45,0,A,A28037,0,2,1,0
Library,20,127,2019-10-03 09:00:45,0,A,A27455,0,0,0,0
Library,21,127,2019-10-03 09:00:45,0,A,A27245,0,0,0,0
Library,21,127,2019-10-03 09:00:45,0,A,A27351,0,3,0,0
Library,8,127,2019-10-03 09:00:45,0,A,A35241,0,1,1,0
Library,8,127,2019-10-03 09:00:45,0,A,A33600,0,0,0,0
Library,20,127,2019-05-11 00:59:25,1,A,A28037,0,2,1,0
Library,20,127,2019-05-11 00:59:25,1,A,A27455,0,0,0,0
Library,21,127,2019-05-11 00:59:25,1,A,A27351,0,3,0,0
Library,21,127,2019-05-11 00:59:25,1,A,A27245,0,0,0,0
Library,64,127,2017-06-22 16:42:36,16,A,A8610,0,0,0,0
Library,8,127,2019-05-11 00:59:25,1,A,A35241,0,1,1,0
Library,8,127,2019-05-11 00:59:25,1,A,A33600,0,0,0,0
