file_id,projectGroup,category,smellType,status,tInit,tFinal,first,last
A30363,A,Utility,IMPLICIT_COLUMNS,0,2012-02-08 19:34:46,2015-12-28 07:49:03,0,1
A30809,A,Utility,IMPLICIT_COLUMNS,0,2012-02-08 19:34:46,2015-12-28 07:49:03,1,1
A30822,A,Utility,IMPLICIT_COLUMNS,1,2012-02-08 19:34:46,2012-06-26 20:24:51,1,0
A31130,A,Utility,IMPLICIT_COLUMNS,1,2012-09-24 20:30:51,2013-12-16 07:46:49,1,0
A14490,A,Multimedia,IMPLICIT_COLUMNS,0,2015-05-19 09:58:38,2019-10-09 10:09:04,1,1
A61902,A,Library,IMPLICIT_COLUMNS,0,2018-05-09 23:41:23,2019-05-19 12:55:52,0,1
A61901,A,Library,IMPLICIT_COLUMNS,0,2018-05-09 23:41:23,2019-05-19 12:55:52,0,1
A28037,A,Library,IMPLICIT_COLUMNS,0,2018-01-24 21:43:24,2019-10-03 09:00:45,1,1
A27351,A,Library,IMPLICIT_COLUMNS,0,2017-12-15 21:52:43,2019-10-03 09:00:45,1,1
A35241,A,Library,IMPLICIT_COLUMNS,0,2018-11-01 19:32:51,2019-10-03 09:00:45,1,1
A46432,A,Library,IMPLICIT_COLUMNS,0,2015-11-23 08:33:31,2019-10-06 08:52:12,1,1
A46468,A,Library,IMPLICIT_COLUMNS,0,2015-11-23 08:33:31,2019-10-06 08:52:12,1,1
A86,A,Utility,IMPLICIT_COLUMNS,0,2018-07-02 05:54:51,2019-09-29 22:00:50,0,1
A34375,A,Utility,IMPLICIT_COLUMNS,0,2014-12-05 03:11:17,2015-04-13 05:51:45,1,1
A34376,A,Utility,IMPLICIT_COLUMNS,0,2014-12-05 03:11:17,2015-04-13 05:51:45,1,1
A34378,A,Utility,IMPLICIT_COLUMNS,0,2014-12-05 03:11:17,2015-04-13 05:51:45,1,1
A1802,A,Business,IMPLICIT_COLUMNS,0,2018-04-05 00:33:42,2019-09-19 07:15:10,0,1
A5520,A,Business,IMPLICIT_COLUMNS,0,2015-12-08 10:03:03,2018-06-15 14:41:46,1,1
